,Vendor,ART_Model,Name_Model
1,Eaton,5E650I,5E650I
2,APC,BV500I,EASYUSPBV500I
3,APC,BX500CI,BLACKUSP500
4,APC,BE400RS,BLACKUPS400
5,APC,BV650I,EASYUSPBV650I
6,APC,BX650CI,BLACKUSP650
7,APC,BE650RS,BLACKUPS650
8,Ippon,BLACKBASIC650EURO,BLACKBASIC650EURO
9,Ippon,BLACKBASIC650,BLACKBASIC650
10,Ippon,BLACKCOMFOPROII650,BLACKCOMFOPROII650 
11,Powercom,RPT600A,RAPTORRPT600A
12,Powercom,RPT600AEURO,RAPTORRPT600AEURO
13,Powercom,RPT600AP,RAPTORRPT600AP
14,Cyberpower,UTI675EI,UTI675EI
15,Cyberpower,UTC650E,UTC650E
16,Cyberpower,UT650E,UT650E
